code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,sum_click,date_registration,is_dropout
0,1,11391,1,0,1,9,2,-0.3402289803143461,3.9015425811228486,0,-0.1661023462667018,-1.8186992789904508,0
0,1,28400,0,6,1,2,1,-0.3402289803143461,-0.4810830156421975,0,0.12989574476894164,0.333158311034288,0
0,1,30268,0,5,0,3,1,-0.3402289803143461,-0.4810830156421975,1,-0.5519042493530794,-0.45856287774839893,1
0,1,31604,0,7,0,5,1,-0.3402289803143461,-0.4810830156421975,0,0.5570546665628942,0.35345885433640817,0
0,1,32885,0,11,2,5,0,-0.3402289803143461,-0.4810830156421975,0,-0.10702089097016619,-2.163808515126494,0
0,1,38053,1,10,0,8,1,-0.3402289803143461,-0.4810830156421975,0,0.7266184432639514,-0.8239726571865621,0
0,1,45462,1,6,1,3,0,-0.3402289803143461,-0.4810830156421975,0,0.16357217428796694,0.048950704804605505,0
0,1,45642,0,5,0,9,0,-0.3402289803143461,0.9797921832794845,0,0.12576004289818415,0.8203713502851723,0
0,1,52130,0,0,0,7,0,-0.3402289803143461,0.2493545838186435,0,0.40107962458004015,0.7391691770766915,0
0,1,53025,1,4,4,10,2,-0.3402289803143461,-0.4810830156421975,0,1.1478692195282503,-2.224710145032854,0
0,1,57506,1,8,2,7,1,-0.3402289803143461,-0.4810830156421975,0,0.06136125662496032,-0.6818688540717208,0
0,1,58873,0,0,0,2,0,-0.3402289803143461,-0.4810830156421975,0,0.3053676669996524,0.45496157084700906,0
0,1,59185,1,0,2,6,1,-0.3402289803143461,-0.4810830156421975,0,-0.06684550136852196,0.21135505122156692,0
0,1,62155,0,5,1,5,0,-0.3402289803143461,-0.4810830156421975,0,1.2837565667102822,0.028650161502485328,0
0,1,63400,1,6,2,4,1,-0.3402289803143461,-0.4810830156421975,0,0.8991362927298354,0.048950704804605505,0
0,1,65002,0,0,0,7,0,-0.3402289803143461,-0.4810830156421975,0,-0.6168938501792686,-2.2450106883349745,1
0,1,70464,0,11,0,6,1,-0.3402289803143461,-0.4810830156421975,0,-0.09579541446382442,-0.5194645076547595,0
0,1,71361,1,2,1,10,1,-0.3402289803143461,-0.4810830156421975,0,0.6569023260140393,-1.2299835232289658,0
0,1,74372,1,0,0,1,1,-0.3402289803143461,1.7102297827403254,0,-0.6493886505923632,0.3940599409406485,0
0,1,75091,1,9,0,3,1,-0.3402289803143461,-0.4810830156421975,0,1.0497940037360012,-0.7630710272802016,0
0,1,77367,1,1,0,3,0,-0.3402289803143461,-0.4810830156421975,0,-0.31616924271990227,0.8609724368894126,0
0,1,91265,1,5,1,0,0,-0.3402289803143461,-0.4810830156421975,0,0.16475380339389764,0.7797702636809319,0
0,1,94961,1,8,2,7,1,-0.3402289803143461,-0.4810830156421975,0,-0.5176370052810887,-2.042005255313773,1
0,1,98094,1,10,2,7,1,-0.3402289803143461,-0.4810830156421975,0,0.9593993771323017,-0.7630710272802016,0
0,1,100893,1,12,0,2,0,-0.3402289803143461,-0.4810830156421975,0,-0.2783571113301195,0.1504534213152064,0
